target,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,f211,f212,f213,f214,f215
1,0,2,0,0,0,0,0,3,0,0,0,9,0,5,0,2,0,31,1,0,1,1,0,0,0,0,0,0,0,0,0,1,5,3,1,10,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,2,1,1,5,1,0,11,3,3,0,1,0,1,0,0,0,0,0,15,2,0,0,0,1,0,0,1,0,3,3,11,0,7,0,3,1,2,0,7,4,0,1,3,2,0,0,1,0,0,1,0,1,6,5,44,6,12,0,8,32,1,0,14,0,0,1,0,1,0,1,10,7,1,0,19,14,0,26,2,3,2,5,1,11,0,0,0,1,0,5,0,0,0,0,2,5,1,0,4,0,1,1,0,0,1,0,2,2,0,0,11,2,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,6,1,0,1,2,3,3,1,5,29,1,7,30,8,1,7,0,4,4,0,0,3,0,0,13,6,0
1,3,1,0,3,0,35,1,0,0,0,0,1,1,0,2,0,0,16,0,5,3,1,0,23,1,0,0,1,0,0,30,2,26,7,0,54,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,3,5,0,31,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,4,0,0,0,0,0,0,8,1,3,4,0,2,1,0,1,2,0,5,3,0,2,0,0,1,3,0,1,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0,20,0,8,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,30,1,15,21,2,44,3,0,0,0,0,0,37,0,0,4,0,1,6,0,0,3,0,4,0,0,0,1,0,2,53,0,4,2,2,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,8,0,4,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,5,7,0,6,2,24,1,2,0,10,1,3,31,47,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,12,1,0,0,2,9,0,1,0,0,0,0,8,4,0,0,3,2,22,12,4,0,2,0,49,5,3,0,0,0,0,0,0,0,0,0,0,0,0,4,23,37,0,0,0,1,9,5,1,2,0,0,27,9,1,0,2,0,9,0,1,0,4,0,13,9,0,0,0,0,0,0,0,0,0,0,5,7,0,1,1,0,0,0,1,0,0,0,29,6,7,2,12,0,1,0,4,0,1,0,7,7,0,0,0,0,0,0,0,0,0,2,3,15,0,0,0,3,2,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,2,1,5,2,34,2,0,1,1,0,5,4,1,4,2,0,23,4,0,1,2,3,5,0,0,1,1,2,4,13,4,6,3,0,37,3,1,4,2,1,2,1,0,0,0,0,0,1,1,1,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,6,0,0,0,1,0,1,1,5,2,0,10,3,0,1,1,1,2,1,1,15,1,0,14,0,1,0,1,0,1,0,0,1,0,1,1,14,4,9,5,4,11,1,1,1,2,2,4,1,0,1,0,1,0,1,1,3,0,1,1,2,0,0,0,2,0,0,0,0,2,4,1,7,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,5,0,0,5,1,1,1,1,1,3,0,0,3,4,4,3,5,1,1,1,1,0,39,4,23,4,3,12,6,1,1,1,1,0,9,4,4,0,2,3,4,1,3,0,0,1,1,0,6,1,2,0,40,1,4,0,3,1
1,9,9,16,12,2,11,1,2,2,1,2,6,3,9,10,9,3,16,2,2,4,3,2,5,1,1,2,0,0,4,6,2,4,3,4,3,3,1,2,1,1,2,1,0,1,1,1,3,2,1,1,1,1,5,0,2,2,1,1,3,1,0,0,0,0,5,4,0,4,6,0,3,7,2,11,2,0,3,2,1,4,2,2,4,3,3,3,4,2,4,2,4,3,2,0,6,0,3,1,3,2,1,11,5,2,3,2,9,8,0,4,1,1,0,2,1,0,5,1,1,9,2,2,1,1,3,1,2,0,1,1,3,1,0,0,1,0,3,11,0,1,4,0,4,0,1,1,0,1,4,0,2,2,0,0,1,0,0,1,0,2,1,0,0,3,1,0,1,0,0,1,0,0,1,4,1,2,1,1,6,32,1,16,1,3,2,4,1,2,0,0,2,9,0,2,2,1,3,9,0,6,0,1,2,4,1,0,1,0,1,19,1,4,1,0,4
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,5,4,2,1,4,0,6,6,9,2,3,0,0,3,0,0,0,0,0,0,3,14,1,7,8,29,0,1,1,16,1,8,5,37,2,1,0,0,0,0,0,1,1,1,1,3,0,0,2,1,0,1,0,1,0,1,12,12,1,0,18,5,1,0,2,2,8,4,2,10,3,0,3,3,2,1,0,0,5,1,21,27,3,0,6,2,0,0,2,0,1,0,1,0,0,6,5,11,0,1,0,4,3,8,1,4,0,0,3,2,0,1,1,0,2,0,1,0,0,0,7,4,0,0,2,0,0,1,0,0,1,0,14,5,0,2,1,0,13,4,1,0,3,0,12,12,3,0,8,1,8,13,3,1,8,0,12,2,0,0,0,0,0,0,0,0,0,5,1,18,0,3,0,5,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,3,19,0,0,3,1,2,0,3,2,4,0,3,9,0,1,0,1,0,0,7,4,0,4,0,0,5,10,0,1,0,0,0,2,1,4,0,0,0,2,1,1,1,2,6,8,3,0,2,6,0,2,0,0,0,0,11,3,2,3,2,0,1,4,3,1,2,0,0,1,1,1,0,5,0,13,0,6,2,2,21,14,10,4,0,3,3,9,0,0,0,0,2,3,2,2,11,2,0,0,0,9,6,1,6,26,7,0,0,1,0,0,0,4,2,3,4,3,1,0,1,6,0,0,0,1,0,2,5,0,6,1,1,2,0,0,5,0,1,3,3,1,2,0,12,30,1,0,3,2,2,3,10,1,18,0,11,27,0,0,0,0,0,0,1,2,1,2,5,0,1,7,2,5,3,1,11,24,7,1,0,0,0,2,0,0,0,0,2,8,2,0,0,0,0,0,0
1,0,0,0,3,1,20,0,0,0,2,0,8,0,0,0,3,0,6,0,3,4,5,0,55,0,0,1,0,0,8,1,3,22,3,0,38,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,6,0,0,0,1,6,2,33,0,30,0,0,0,0,0,1,1,0,0,1,0,2,0,0,2,1,0,1,0,0,0,2,0,1,4,0,3,0,1,1,2,0,0,0,0,1,3,0,0,0,0,0,10,1,1,0,1,0,1,0,4,0,0,1,0,0,0,0,0,0,34,1,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,3,21,4,6,28,8,12,5,0,0,0,0,0,61,0,3,0,2,0,1,0,2,0,0,1,0,0,0,0,0,1,36,0,9,0,0,1
1,0,1,0,3,0,1,0,1,7,0,0,1,1,1,1,2,0,5,7,0,4,6,4,0,0,0,0,4,0,0,2,0,2,1,2,1,0,0,0,1,0,0,0,0,1,1,2,1,0,4,5,8,2,6,0,0,2,1,1,3,0,0,0,6,1,1,3,2,1,0,0,0,0,1,1,2,0,2,0,3,8,5,5,2,2,4,5,14,0,9,4,2,12,21,5,6,0,2,1,6,1,1,8,1,18,8,0,5,3,3,4,11,1,4,0,1,5,0,0,0,2,8,13,12,7,13,11,0,25,16,7,5,0,3,2,12,1,3,2,1,7,3,3,0,0,0,1,0,0,0,1,0,1,0,1,2,0,3,0,2,0,2,2,3,8,15,2,1,0,0,1,2,0,0,3,0,1,0,0,1,2,4,4,4,3,1,0,0,3,1,0,0,1,4,10,12,2,5,2,1,3,5,2,1,1,0,3,1,0,0,0,0,5,2,0,2
0,18,3,15,4,11,10,0,1,0,0,1,1,3,2,6,3,2,8,1,0,2,1,1,3,11,1,6,1,11,3,0,1,0,0,0,13,1,0,0,0,4,0,0,1,1,1,2,2,1,0,2,0,7,1,0,0,0,0,2,0,1,0,1,1,5,0,3,2,3,0,1,10,11,0,4,0,9,0,1,0,1,0,0,6,1,5,5,1,0,8,0,3,3,0,0,1,5,1,2,0,10,0,0,3,1,0,1,22,2,0,0,1,0,0,0,1,0,0,0,2,1,0,1,0,0,4,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,26,0,5,3,4,3,0,0,1,0,1,1,5,0,6,3,1,4,2,0,0,0,0,0,23,1,9,0,21,0,0,0,0,0,0,3,3,0,0,0,6,1,4,4,8,1,4,7,13,1,0,0,8,2,0,0,0,0,0,0,1,0,0,0,5,0,6,22,20,0,4,36
1,2,1,2,7,1,20,0,1,1,0,0,3,2,1,1,2,0,8,4,4,7,1,0,18,1,2,6,4,0,7,6,5,17,0,4,14,4,0,2,4,5,1,1,0,0,0,0,0,0,0,1,1,0,4,2,0,0,0,1,1,3,0,1,1,2,1,3,1,0,1,0,1,6,3,3,8,1,17,1,0,3,2,2,0,0,3,5,2,0,6,3,1,1,2,1,2,3,2,3,4,1,2,5,6,10,2,0,7,2,1,2,4,1,2,4,0,0,0,1,1,4,2,2,1,3,2,1,0,2,0,1,0,1,0,0,0,2,1,9,2,13,0,1,2,1,0,2,4,1,4,0,0,2,0,0,2,2,0,3,1,1,9,0,1,4,1,0,6,1,0,3,2,1,2,2,2,4,0,1,5,18,0,3,7,11,1,10,0,0,2,5,0,30,2,4,3,11,1,2,0,0,0,1,0,3,0,3,1,3,1,15,1,8,0,5,2
1,0,0,0,1,0,1,0,2,2,1,4,0,0,0,1,1,1,0,1,4,5,2,2,1,0,0,2,0,0,0,1,1,0,1,3,0,0,1,1,5,0,1,1,0,4,2,4,0,1,1,6,20,4,2,1,11,7,2,2,1,3,9,15,5,4,2,0,0,0,0,0,0,2,1,0,3,1,0,0,1,3,5,5,0,2,2,3,18,3,1,7,17,23,20,14,3,1,9,2,3,1,1,0,0,1,3,2,0,0,3,0,4,1,3,6,4,11,7,17,0,2,6,12,22,7,3,0,8,11,2,4,2,1,8,9,2,2,2,0,0,5,0,1,1,0,3,2,1,0,1,1,4,13,8,6,0,1,4,6,18,2,0,1,4,5,1,1,0,2,3,0,1,1,1,2,2,2,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,1,1,1,5,0,0,1,1,1,0,1,0,0,3,3,1,0,0,0,0,0,0,1,0
0,2,0,1,8,3,11,0,0,0,0,0,0,0,0,1,0,0,2,3,5,0,12,2,19,3,0,1,19,7,24,0,5,6,0,0,10,7,0,0,5,13,0,2,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,2,24,28,1,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,1,4,0,2,0,0,2,9,1,0,3,0,1,0,0,0,0,0,3,0,3,2,2,4,0,0,1,4,0,0,0,0,0,0,2,2,1,0,9,0,1,0,1,1,3,11,5,29,0,0,3,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,20,1,0,0,2,0,14,0,11,13,0,0,18,8,0,0,1,10,0,21,0,3,0,0,0,53,0,2,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,24,0,0,0
1,0,0,0,1,1,2,2,1,1,2,2,0,1,2,4,5,2,3,2,4,9,9,0,9,1,1,0,0,0,3,6,1,8,5,3,1,0,2,0,5,1,2,0,0,1,2,1,0,2,0,2,3,2,3,2,3,3,2,2,1,1,0,1,0,3,2,1,0,1,0,0,0,0,0,2,10,1,5,2,0,2,4,2,0,2,3,0,13,2,4,11,6,19,10,4,7,3,0,3,3,3,7,6,1,3,4,2,6,2,4,7,6,2,6,4,2,4,3,2,0,8,2,12,21,4,8,6,1,16,2,0,2,0,0,3,2,0,3,5,3,10,3,0,3,0,0,0,4,0,2,0,0,1,1,0,1,1,1,0,4,2,1,1,1,2,1,0,2,1,1,0,2,0,2,4,2,6,6,0,1,2,2,8,6,0,7,2,1,3,1,0,1,4,2,6,11,7,3,5,0,6,3,2,3,0,1,3,0,0,2,3,1,5,1,1,0
1,0,2,0,2,0,7,3,7,3,0,0,1,1,3,0,0,0,3,0,5,1,0,1,2,0,12,0,5,0,21,9,3,3,0,4,1,5,5,3,4,22,2,8,0,2,0,14,0,7,1,1,0,11,0,0,0,0,0,1,0,5,5,4,15,11,11,1,0,0,0,1,0,0,4,1,1,1,4,6,1,0,0,1,1,0,2,1,1,0,1,0,0,0,2,1,0,0,18,0,5,0,5,2,1,0,1,3,1,0,0,0,1,2,1,9,1,2,0,15,0,0,0,1,1,5,0,1,0,0,0,1,0,0,2,1,0,1,1,1,0,0,0,1,0,0,2,1,0,0,6,11,15,11,1,10,0,0,3,1,1,0,3,1,22,6,0,0,0,1,11,2,3,0,8,7,13,14,1,8,3,6,1,2,1,13,0,4,0,2,0,11,0,3,0,1,0,12,1,2,0,0,0,1,0,3,0,1,1,12,0,3,0,0,1,1,1
1,0,1,0,0,0,0,0,1,5,3,2,2,0,1,1,2,0,0,0,2,3,1,2,0,0,0,0,0,0,0,3,1,1,0,0,1,0,1,1,0,0,1,0,2,8,5,4,1,0,6,4,19,6,7,4,0,6,5,4,1,0,4,2,9,2,1,1,0,0,1,2,0,0,1,0,1,0,0,2,7,11,6,6,0,1,4,6,19,2,2,2,7,14,17,12,4,1,4,0,5,4,1,2,3,7,5,6,1,1,5,1,1,0,3,0,8,5,1,3,0,1,12,15,8,4,7,3,0,16,4,5,2,4,6,7,12,3,2,3,2,6,0,1,0,0,2,0,3,0,1,0,2,9,4,2,1,0,4,2,5,2,2,2,8,7,1,9,4,1,2,3,3,1,2,0,1,5,0,1,0,0,3,2,3,0,1,1,0,4,1,1,0,0,4,6,3,1,6,0,0,1,2,2,1,0,3,3,2,2,1,0,0,1,0,1,0
1,14,0,23,0,0,9,0,0,0,1,0,0,43,1,34,9,1,18,0,0,0,0,0,9,0,0,0,1,0,1,2,0,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,1,8,9,2,28,0,0,0,0,0,2,6,1,9,7,1,21,0,0,0,0,0,16,0,0,0,0,0,2,2,0,1,3,0,33,3,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,26,0,60,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,67,0,1,7,0,5
